Modelo exacto			Heuristica
FO	Ordenes	Tiempo	FO	Ordenes	Tiempo
Iteración: 0
43.95000000000002	41.0	32.25
hormigas: 10 iteraciones:10	43.30000000000001	41	1.59	43.25000000000002	41	1.67	43.30000000000002	41	1.67	43.250000000000014	41	1.77	42.300000000000004	40	1.67	43.35	41	1.68	43.20000000000001	41	1.62	43.30000000000001	41	1.62	43.300000000000004	41	1.62	43.300000000000004	41	1.68	43.30000000000001	41	1.61	43.300000000000004	41	1.63	43.20000000000002	41	1.59	43.30000000000001	41	1.61	43.30000000000001	41	1.63	43.30000000000001	41	1.63	43.195000000000014	41	1.63	43.30000000000001	41	1.69	43.25000000000001	41	1.62	43.250000000000014	41	1.62
hormigas: 20 iteraciones:10	43.30000000000001	41	3.2	43.30000000000001	41	3.45	43.350000000000016	41	3.28	43.300000000000004	41	3.23	43.35000000000001	41	3.58	43.25000000000001	41	3.54	43.30000000000001	41	3.56	43.30000000000001	41	3.53	43.35000000000001	41	3.29	43.30000000000001	41	3.44	43.35	41	3.33	43.300000000000004	41	3.22	43.20000000000001	41	3.19	43.30000000000001	41	3.14	43.30000000000001	41	3.18	43.30000000000001	41	3.46	43.30000000000001	41	3.4	43.300000000000004	41	3.47	43.295000000000016	41	3.43	43.35000000000001	41	3.4
hormigas: 30 iteraciones:10	43.30000000000001	41	5.42	43.30000000000002	41	5.39	43.30000000000001	41	5.2	43.30000000000001	41	5.13	43.30000000000002	41	4.64	43.35000000000001	41	4.65	43.30000000000002	41	5.41	43.30000000000001	41	6.36	43.35000000000001	41	5.29	43.30000000000002	41	4.85	43.35000000000001	41	5.21	43.30000000000001	41	6.31	43.35000000000001	41	6.03	43.30000000000001	41	6.58	43.30000000000002	41	5.94	43.30000000000001	41	5.84	43.30000000000001	41	5.13	43.30000000000001	41	5.28	43.35000000000001	41	4.8	43.35000000000001	41	4.74
hormigas: 40 iteraciones:10	43.30000000000001	41	6.24	43.30000000000001	41	6.43	43.250000000000014	41	6.29	43.30000000000001	41	6.72	43.35000000000001	41	7.33	43.35000000000001	41	6.55	43.30000000000001	41	6.42	43.35000000000001	41	6.45	43.30000000000002	41	6.46	43.30000000000001	41	6.66	43.350000000000016	41	6.26	43.35000000000001	41	6.72	43.35000000000001	41	10.24	43.35000000000001	41	8.72	43.35000000000001	41	7.37	43.30000000000001	41	6.4	43.30000000000001	41	6.23	43.35000000000001	41	6.21	43.30000000000002	41	7.23	43.30000000000001	41	9.21
hormigas: 50 iteraciones:10	43.35000000000001	41	10.26	43.30000000000001	41	9.48	43.30000000000001	41	9.1	43.35000000000001	41	8.56	43.30000000000001	41	8.88	43.30000000000001	41	8.9	43.30000000000002	41	9.68	43.35000000000001	41	9.38	43.30000000000001	41	8.83	43.350000000000016	41	8.73	43.30000000000001	41	8.64	43.35000000000001	41	8.54	43.30000000000001	41	8.47	43.35000000000001	41	9.42	43.30000000000001	41	8.72	43.29500000000001	41	12.56	43.30000000000002	41	9.06	43.35000000000001	41	10.06	43.35000000000001	41	9.87	43.35000000000001	41	10.16
hormigas: 60 iteraciones:10	43.350000000000016	41	12.59	43.35000000000001	41	12.1	43.350000000000016	41	11.9	43.35000000000001	41	11.22	43.35000000000001	41	13.19	43.350000000000016	41	12.16	43.35000000000001	41	14.11	43.350000000000016	41	15.53	43.30000000000001	41	14.25	43.35000000000001	41	13.16	43.35000000000001	41	12.06	43.30000000000001	41	11.75	43.35000000000001	41	12.4	43.35000000000001	41	11.15	43.35000000000001	41	11.05	43.35	41	10.98	43.35000000000001	41	10.89	43.35000000000001	41	11.23	43.30000000000001	41	11.33	43.35000000000001	41	11.64
hormigas: 70 iteraciones:10	43.35000000000001	41	13.27	43.30000000000001	41	13.12	43.30000000000002	41	12.9	43.350000000000016	41	13.03	43.350000000000016	41	12.65	43.35000000000001	41	12.99	43.30000000000001	41	12.86	43.35000000000001	41	12.8	43.30000000000002	41	12.82	43.350000000000016	41	12.54	43.30000000000001	41	12.49	43.30000000000002	41	12.44	43.350000000000016	41	12.82	43.30000000000001	41	13.0	43.35000000000001	41	11.87	43.350000000000016	41	12.06	43.35000000000001	41	12.26	43.35000000000001	41	12.61	43.30000000000001	41	12.84	43.350000000000016	41	12.26
hormigas: 80 iteraciones:10	43.30000000000001	41	14.42	43.35000000000001	41	14.15	43.30000000000002	41	14.08	43.35000000000001	41	14.83	43.35	41	14.3	43.35000000000001	41	14.19	43.300000000000004	41	13.65	43.30000000000001	41	14.27	43.350000000000016	41	13.89	43.30000000000002	41	14.26	43.35000000000001	41	13.87	43.350000000000016	41	14.21	43.35	41	13.98	43.35000000000001	41	14.52	43.35000000000001	41	14.1	43.350000000000016	41	13.6	43.35000000000001	41	14.12	43.350000000000016	41	13.86	43.35000000000001	41	14.0	43.35000000000001	41	14.96
hormigas: 90 iteraciones:10	43.35000000000001	41	15.77	43.350000000000016	41	15.6	43.350000000000016	41	15.48	43.35000000000001	41	15.46	43.350000000000016	41	15.57	43.35000000000001	41	16.15	43.35000000000001	41	16.7	43.35000000000001	41	15.27	43.35000000000001	41	15.97	43.35000000000001	41	15.41	43.30000000000001	41	15.77	43.35000000000001	41	15.77	43.350000000000016	41	15.68	43.30000000000002	41	15.83	43.35000000000001	41	15.65	43.35000000000001	41	16.54	43.35000000000001	41	15.49	43.30000000000001	41	15.73	43.350000000000016	41	17.1	43.35000000000001	41	15.94
hormigas: 10 iteraciones:20	43.35000000000001	41	3.47	43.30000000000001	41	3.41	43.30000000000001	41	3.52	43.25000000000002	41	3.83	43.35000000000001	41	3.43	43.29500000000001	41	3.46	43.30000000000001	41	3.73	43.30000000000001	41	3.44	43.30000000000001	41	3.44	43.30000000000001	41	3.45	43.35000000000001	41	3.64	43.250000000000014	41	3.7	43.30000000000001	41	3.62	43.30000000000002	41	3.62	43.35000000000001	41	3.81	43.30000000000002	41	3.69	43.30000000000001	41	3.58	43.29500000000001	41	3.57	43.250000000000014	41	3.46	43.30000000000001	41	3.56
